,leveringsrichting,postcode_tot,postcode_van,sjv,soort
353,100,1011RH,1011RH,2753,ELK
354,100,1011RH,1011RH,883,GAS
355,100,1011RJ,1011RJ,2363,ELK
356,100,1011RK,1011RJ,1907,GAS
357,100,1011RK,1011RK,2754,ELK
358,"96,55",1011RL,1011RL,1983,ELK
359,100,1011RL,1011RL,1464,GAS
360,100,1011RM,1011RM,2597,GAS
361,100,1011RM,1011RM,3916,ELK
362,100,1011RN,1011RN,6849,ELK
363,100,1011RN,1011RN,2889,GAS
364,100,1011RS,1011RP,3861,ELK
365,100,1011SB,1011RP,1744,GAS
366,100,1011SB,1011RT,4366,ELK
367,100,1011SC,1011SC,1447,GAS
368,100,1011SC,1011SC,3590,ELK
369,100,1011SG,1011SE,4340,ELK
370,100,1011SP,1011SE,1497,GAS
371,100,1011SP,1011SK,2402,ELK
372,100,1011SR,1011SR,1009,ELK
373,100,1011SR,1011SR,9,GAS
374,100,1011ST,1011ST,14,GAS
375,100,1011ST,1011ST,941,ELK
376,100,1011SV,1011SV,1051,ELK
377,100,1011SV,1011SV,13,GAS
378,100,1011SW,1011SW,1039,ELK
379,100,1011SW,1011SW,18,GAS
380,100,1011SX,1011SX,8,GAS
381,100,1011SX,1011SX,971,ELK
382,100,1011SZ,1011SZ,19,GAS
383,100,1011SZ,1011SZ,885,ELK
384,"97,18",1011TB,1011TA,2979,ELK
385,100,1011TB,1011TA,1655,GAS
386,100,1011TC,1011TC,1809,GAS
387,100,1011TC,1011TC,5424,ELK
388,100,1011TD,1011TD,4046,GAS
389,100,1011TD,1011TD,7865,ELK
390,100,1011TE,1011TE,5219,ELK
391,100,1011TE,1011TE,2044,GAS
392,100,1011TG,1011TG,2778,GAS
393,100,1011TG,1011TG,3136,ELK
394,100,1011TJ,1011TJ,3358,ELK
395,100,1011TJ,1011TJ,1391,GAS
396,100,1011TL,1011TK,2571,ELK
397,100,1011TL,1011TK,1318,GAS
398,100,1011TM,1011TM,4726,ELK
399,100,1011TM,1011TM,1010,GAS
400,100,1011TP,1011TN,1256,GAS
401,100,1011TN,1011TN,2079,ELK
402,100,1011TP,1011TP,2337,ELK
403,100,1011TR,1011TR,2938,ELK
404,100,1011TR,1011TR,1429,GAS
405,100,1011TS,1011TS,2698,ELK
406,100,1011TS,1011TS,1384,GAS
407,100,1011TT,1011TT,2911,ELK
408,100,1011TT,1011TT,1566,GAS
409,100,1011TV,1011TV,2539,ELK
410,100,1011TV,1011TV,1162,GAS
411,100,1011TW,1011TW,10637,ELK
412,100,1011TW,1011TW,1799,GAS
413,100,1011TX,1011TX,1027,GAS
414,100,1011TX,1011TX,3035,ELK
415,100,1011TZ,1011TZ,1029,GAS
416,100,1011TZ,1011TZ,2357,ELK
417,100,1011VA,1011VA,6978,ELK
418,100,1011VA,1011VA,990,GAS
419,100,1011VB,1011VB,2918,ELK
420,100,1011VB,1011VB,1272,GAS
421,"96,55",1011VK,1011VC,2179,ELK
422,100,1011VK,1011VC,851,GAS
423,100,1011VL,1011VL,1860,GAS
424,100,1011VL,1011VL,4447,ELK
425,100,1011VM,1011VM,2749,GAS
426,100,1011VM,1011VM,5017,ELK
427,100,1011VP,1011VP,1679,ELK
428,100,1011VP,1011VP,1163,GAS
429,100,1011VR,1011VR,545,GAS
430,100,1011VR,1011VR,1319,ELK
431,100,1011VS,1011VS,975,GAS
432,100,1011VS,1011VS,2095,ELK
433,100,1011WB,1011VX,5701,ELK
434,100,1011WB,1011VX,2349,GAS
435,100,1011WC,1011WC,944,GAS
436,100,1011WC,1011WC,2101,ELK
437,100,1011WD,1011WD,1826,ELK
438,100,1011WD,1011WD,1038,GAS
439,100,1011XA,1011XA,1827,ELK
440,100,1011XA,1011XA,1236,GAS
441,100,1012AA,1012AA,17003,ELK
442,100,1012AE,1012AA,4754,GAS
443,100,1012AB,1012AB,2633,ELK
444,100,1012AC,1012AC,12870,ELK
445,100,1012AD,1012AD,4068,ELK
446,100,1012AE,1012AE,9026,ELK
447,100,1012AH,1012AG,2153,GAS
448,100,1012AG,1012AG,10935,ELK
449,100,1012AH,1012AH,7712,ELK
450,100,1012AK,1012AJ,1064,GAS
451,100,1012AJ,1012AJ,3754,ELK
452,100,1012AK,1012AK,5680,ELK
453,100,1012AL,1012AL,2401,GAS
454,100,1012AL,1012AL,6427,ELK
455,100,1012AR,1012AM,8906,ELK
456,100,1012AR,1012AM,1423,GAS
457,100,1012AS,1012AS,6165,ELK
458,100,1012AS,1012AS,1783,GAS
459,100,1012AT,1012AT,8668,ELK
460,100,1012AT,1012AT,2217,GAS
461,100,1012AV,1012AV,5973,GAS
462,100,1012AV,1012AV,9168,ELK
463,100,1012AW,1012AW,2370,GAS
464,100,1012AW,1012AW,12543,ELK
465,100,1012AX,1012AX,9369,ELK
466,100,1012AX,1012AX,1883,GAS
467,100,1012AZ,1012AZ,1297,GAS
468,100,1012AZ,1012AZ,4579,ELK
469,100,1012BA,1012BA,1969,GAS
470,100,1012BA,1012BA,6423,ELK
471,100,1012BB,1012BB,3951,GAS
472,100,1012BB,1012BB,14125,ELK
473,100,1012BC,1012BC,8970,ELK
474,100,1012BC,1012BC,1833,GAS
475,100,1012BD,1012BD,3662,ELK
476,100,1012BD,1012BD,810,GAS
477,100,1012BG,1012BE,1420,GAS
478,100,1012BG,1012BE,3150,ELK
479,100,1012BH,1012BH,5159,ELK
480,100,1012BH,1012BH,2361,GAS
481,100,1012BJ,1012BJ,1555,GAS
482,100,1012BJ,1012BJ,4008,ELK
483,100,1012BK,1012BK,1274,GAS
484,100,1012BK,1012BK,2989,ELK
485,100,1012BL,1012BL,2407,ELK
486,100,1012BL,1012BL,2028,GAS
487,100,1012BM,1012BM,6238,ELK
488,100,1012BM,1012BM,1349,GAS
489,100,1012BN,1012BN,4790,ELK
490,100,1012BN,1012BN,1353,GAS
491,100,1012BP,1012BP,2358,GAS
492,100,1012BP,1012BP,4521,ELK
493,100,1012BS,1012BR,4012,ELK
494,100,1012BS,1012BR,1143,GAS
495,100,1012BT,1012BT,2178,ELK
496,100,1012BT,1012BT,527,GAS
497,100,1012BV,1012BV,3262,GAS
498,100,1012BV,1012BV,9816,ELK
499,100,1012BW,1012BW,1264,GAS
500,100,1012BW,1012BW,1811,ELK
501,100,1012BX,1012BX,1171,GAS
502,100,1012BX,1012BX,1904,ELK
503,100,1012BZ,1012BZ,1294,GAS
504,100,1012BZ,1012BZ,1847,ELK
505,100,1012CA,1012CA,1219,GAS
506,100,1012CA,1012CA,2698,ELK
507,100,1012CB,1012CB,3360,ELK
508,100,1012CB,1012CB,1266,GAS
509,100,1012CD,1012CC,1763,GAS
510,100,1012CD,1012CC,12496,ELK
511,100,1012CE,1012CE,9154,ELK
512,100,1012CE,1012CE,1793,GAS
513,100,1012CJ,1012CH,1325,GAS
514,100,1012CJ,1012CH,2431,ELK
515,100,1012CK,1012CK,1160,GAS
516,100,1012CK,1012CK,2177,ELK
517,100,1012CL,1012CL,1820,GAS
518,100,1012CL,1012CL,5140,ELK
519,100,1012CN,1012CM,1684,ELK
520,100,1012CR,1012CM,4984,GAS
521,100,1012CR,1012CP,13125,ELK
522,100,1012CS,1012CS,1658,GAS
523,100,1012CS,1012CS,17524,ELK
524,100,1012CT,1012CT,9133,ELK
525,100,1012CT,1012CT,2071,GAS
526,100,1012CV,1012CV,6576,ELK
527,100,1012CV,1012CV,1399,GAS
529,100,1012CW,1012CW,2053,GAS
530,100,1012CX,1012CX,6352,ELK
531,100,1012CX,1012CX,1732,GAS
532,100,1012CZ,1012CZ,3966,ELK
533,100,1012CZ,1012CZ,1510,GAS
534,100,1012DA,1012DA,11374,ELK
535,100,1012DA,1012DA,2247,GAS
536,100,1012DB,1012DB,12178,ELK
537,100,1012DB,1012DB,3761,GAS
538,100,1012DC,1012DC,3194,GAS
539,100,1012DC,1012DC,7637,ELK
540,100,1012DD,1012DD,4433,GAS
541,100,1012DD,1012DD,9509,ELK
542,100,1012DE,1012DE,1712,GAS
543,100,1012DE,1012DE,6615,ELK
544,100,1012DG,1012DG,1664,GAS
545,100,1012DG,1012DG,5064,ELK
546,100,1012DH,1012DH,1469,ELK
547,100,1012DH,1012DH,1266,GAS
548,100,1012DJ,1012DJ,4918,ELK
549,100,1012DJ,1012DJ,1871,GAS
550,100,1012DK,1012DK,1156,GAS
551,100,1012DK,1012DK,2837,ELK
552,100,1012DL,1012DL,2053,ELK
553,100,1012DM,1012DL,2140,GAS
554,100,1012DM,1012DM,9071,ELK
555,100,1012DN,1012DN,2096,GAS
556,100,1012DN,1012DN,6024,ELK
557,100,1012DP,1012DP,6416,ELK
558,100,1012DP,1012DP,1926,GAS
559,100,1012DR,1012DR,9084,ELK
560,100,1012DR,1012DR,1463,GAS
561,100,1012DS,1012DS,2420,GAS
