ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Stichting Cliffordstudio,Cliffordstraat 38,07:00,01:00,07:00,03:00,POINT (4.87092917684562 52.3836963462209)
Dagelijks Lekker,Claude Debussylaan 263,07:00,01:00,07:00,03:00,POINT (4.87008952527564 52.3372357712652)
Dudok Patisserie,Claude Debussylaan 269,07:00,01:00,07:00,03:00,POINT (4.86963532782158 52.3371798623782)
Du Maroc,Comeniusstraat 513,07:00,01:00,07:00,03:00,POINT (4.82611921330554 52.3590644893316)
"V""Business Vitam",Claude Debussylaan 54,07:00,01:00,07:00,03:00,POINT (4.87109728807196 52.3376356215851)
Broodjeszaak Paris,Comeniusstraat 281,07:00,01:00,07:00,03:00,POINT (4.8296564901587 52.3591081415697)
Exp. Maatschappij De Nieuwe Poort BV,Claude Debussylaan 2,07:00,01:00,07:00,03:00,POINT (4.87229996882754 52.3376768042473)
Camper 48 B.V.,Camperstraat 48,07:00,01:00,07:00,03:00,POINT (4.91337382922019 52.357845590881)
Lunchroom Stars,Buitenveldertselaan 30,07:00,01:00,07:00,03:00,POINT (4.86827887595309 52.3314577759467)
V.O.F. Eethuis Tadim,C. van Eesterenlaan 35,07:00,01:00,07:00,03:00,POINT (4.93875366164646 52.3724502442552)
Tjon Express,Buikslotermeerplein 63,07:00,01:00,07:00,03:00,POINT (4.93574220932149 52.4000124784739)
Golden House & Konnichiwa Sushi,Burgemeester Vening Meineszlaan 58,07:00,01:00,07:00,03:00,POINT (4.83410087098394 52.3829820535393)
FEBO Buikslotermeerplein BV,Buikslotermeerplein 54,07:00,01:00,07:00,03:00,POINT (4.93583914080686 52.3991500499852)
Effe Snacks,Burgemeester Van Leeuwenlaan 75-H,07:00,01:00,07:00,03:00,POINT (4.81245043967804 52.3773697061255)
Thailicious,Czaar Peterstraat 105,07:00,01:00,07:00,03:00,POINT (4.92953940688607 52.3703119456759)
Rianna & Friends,Czaar Peterstraat 106-H,07:00,01:00,07:00,03:00,POINT (4.92930920747278 52.3698526919056)
Pasta Plaza,Damstraat 42,07:00,03:00,07:00,04:00,POINT (4.89541207862971 52.3719188730967)
Wok to Walk,Damstraat 44,07:00,03:00,07:00,04:00,POINT (4.89545632744916 52.3719010815158)
